S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
1,Brenden Aaronson,USA,MFFW,Leeds United,Premier League,21,2000,7,7,579,6.4,0.16,1.09,0.47,42.9,0.14,0.33,19.3,0,0,0,22,30.2,73.1,320.9,82.8,13.1,16.1,81.6,5.94,7.81,76,1.88,3.59,52.2,0.16,1.56,0.63,0.63,0.31,1.41,30.2,26.7,3.44,0.31,0,5,0.63,1.25,1.72,0.47,1.25,0,21.7,3.91,4.53,3.59,24.1,0.94,0.63,0.47,22,0,0.16,1.41,1.72,2.5,1.56,0.63,0.16,0,0,0.16,0.31,0.16,0,0,0,0,0.16,1.72,1.09,0.47,0.78,0.47,0.78,2.81,27.8,2.03,20.2,6.72,33.3,3.75,8.59,7.81,1.56,0,0,1.56,0.16,1.88,0.16,0,44.8,0.31,4.38,21.4,22.3,3.44,41.7,1.88,3.28,57.1,2.19,0.63,32.3,157.8,86.1,4.06,1.56,0.16,2.34,4.38,45.3,31.7,70,7.5,0.31,0,0,1.09,2.34,0.47,1.25,1.09,0,0,0,5.78,0.47,2.66,15
2,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,35,1987,10,10,900,10,0,0.8,0,0,0,0,12.7,0,0,0,28.5,35.3,80.7,597.7,229.1,8.2,9.5,86.3,16.1,17.9,89.9,3.8,6.8,55.9,0,0.1,2.8,0.1,0,3.4,35.3,31.5,3.8,2.6,0,3.7,1,0.2,0,0,0,0,25.2,3,7.1,21.4,10.3,1.9,0.4,0.2,28.5,0.1,0.9,0.7,0.8,0.7,0.3,0,0,0.1,0,0.3,0,0,0,0,0,0,0,2.4,1.3,1.1,1.1,0.2,0.9,1.5,60,0.6,14.1,5.4,38.3,6.7,6.7,0.7,1.8,0.5,0,1.3,2.4,4.8,2.6,0,46.3,6.9,24.5,22.1,2.5,1.3,42.7,0.3,0.7,42.9,0.4,0,25.2,146.1,81.9,2,0.3,0,0.2,1.2,24.8,24.2,97.6,0.1,0.1,0,0,1.5,0.5,0,0.2,1.3,0,0,0,8.5,2,0.7,74.1
3,Himad Abdelli,FRA,MF,Angers,Ligue 1,22,1999,3,0,27,0.3,0,0,0,0,0,0,0,0,0,0,80,86.7,92.3,1520,306.7,33.3,36.7,90.9,36.7,36.7,100,10,13.3,75,0,3.33,13.3,0,0,13.3,86.7,86.7,0,0,0,13.3,3.33,0,0,0,0,0,86.7,0,0,13.3,73.3,0,0,0,80,0,0,0,0,3.33,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,6.67,3.33,0,0,0,0,0,0,0,0,86.7,0,6.67,60,36.7,3.33,86.7,6.67,6.67,100,6.67,0,80,533.3,210,20,6.67,0,0,0,90,80,88.9,13.3,0,0,0,0,0,0,0,0,0,0,0,10,0,3.33,0
4,Salis Abdul Samed,GHA,MF,Lens,Ligue 1,22,2000,9,9,810,9,0.11,0.67,0.11,16.7,0.17,1,22,0,0,0,57.6,62.4,92.2,998.3,191.8,26.4,28.1,94.1,24.9,26.3,94.5,5.56,7,79.4,0,0.44,3.89,0.56,0.11,3,62.4,60.9,1.56,1.56,0.11,6.67,0.89,0.44,0,0,0,0,53.8,4.33,4.33,6,53.2,2.44,0,0.44,57.6,0.33,0.44,0.78,0.33,0.89,0.89,0,0,0,0,0,0,0,0,0,0,0,0,2.11,1.11,0.67,1.22,0.22,0.78,1.56,50,0.78,19,5.11,26.9,6.78,9.67,2.56,1.11,0.33,0,0.78,2.56,4.67,1,0,72.2,2,14.4,50.1,11.3,1,71,0.89,1.22,72.7,0.89,0.11,51.6,227.7,98,3.33,0.56,0.11,0.89,1.33,58.7,55.6,94.7,1.78,0.11,0,0,2.78,1.44,0,0.44,1.11,0,0,0,7.89,0.44,0.78,36.4
5,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29,1993,9,9,783,8.7,0,0.34,0,0,0,0,22.4,0,0,0,38.9,43,90.4,677.4,213.6,18.3,18.9,97,15.7,17,92.6,4.14,5.52,75,0,0.57,3.56,0.11,0,2.76,43,42.3,0.69,0.69,0.23,7.93,0.57,0.11,0,0,0,0,35.7,4.02,3.22,2.76,39.1,0.8,0,0,38.9,0.11,0.46,0.46,0.57,1.15,0.92,0,0.11,0,0,0.11,0,0,0,0,0,0,0,3.68,2.41,2.87,0.8,0,1.03,3.68,28.1,2.64,17.4,4.94,28.5,10.1,6.44,0.8,1.38,0.23,0,1.15,1.38,5.06,1.84,0,53.7,4.14,21.1,29.3,5.17,0.11,53,0.46,0.8,57.1,0.57,0,36.6,113.2,54.5,1.72,0.57,0.11,0.8,0.92,38.5,37,96.1,0.46,0.23,0,0,1.38,1.15,0,0.11,2.41,0,0,0,6.67,0.57,0.34,62.5
6,Matthis Abline,FRA,FWMF,Rennes,Ligue 1,19,2003,6,0,84,0.9,1.11,6.67,2.22,33.3,0.17,0.5,10.9,0,0,0,5.56,13.3,41.7,82.2,28.9,4.44,5.56,80,1.11,2.22,50,0,0,0,0,1.11,0,1.11,1.11,0,13.3,13.3,0,0,0,4.44,0,3.33,0,0,0,0,10,2.22,1.11,4.44,7.78,0,0,0,5.56,0,0,0,3.33,5.56,1.11,0,0,3.33,0,1.11,1.11,0,0,0,0,0,1.11,2.22,1.11,0,0,2.22,1.11,2.22,50,1.11,18.9,7.78,41.2,0,8.89,10,1.11,0,0,1.11,2.22,4.44,1.11,0,41.1,1.11,3.33,12.2,27.8,16.7,41.1,0,1.11,0,1.11,0,18.9,71.1,52.2,3.33,1.11,1.11,11.1,0,43.3,25.6,59,11.1,0,0,0,2.22,1.11,1.11,3.33,1.11,0,0,0,6.67,3.33,2.22,60
7,Zakaria Aboukhlal,MAR,FWMF,Toulouse,Ligue 1,22,2000,10,9,772,8.6,0.35,2.09,0.7,33.3,0.17,0.5,16.6,0,0,0,17.6,25.7,68.3,226.7,59.2,12.9,15.1,85.4,4.19,6.74,62.1,0.12,0.93,12.5,0.35,0.7,0.58,0.35,0,1.51,25.7,24.9,0.81,0,0,3.95,0,1.63,0,0,0,0,19.9,3.49,2.33,16.7,7.21,0.58,0.81,0.12,17.6,0.12,0.7,1.63,1.86,1.86,0.93,0.12,0.12,0,0.58,0.12,0.35,0.35,0,0,0,0,0,1.63,1.05,0.7,0.35,0.58,0.47,1.98,23.5,1.51,15.1,3.6,23.8,3.49,5.35,6.28,0.81,0.12,0,0.7,1.16,2.79,0.7,0,40.1,1.05,6.05,14.9,21.4,5.93,39.3,1.51,3.84,39.4,1.86,0.35,29.9,139.8,75.3,5.35,1.05,1.86,2.91,1.28,42.4,29.3,69,7.91,0.12,0,0,1.51,1.4,0.47,1.63,1.05,0,0,0,4.19,0.7,1.4,33.3
8,Tammy Abraham,ENG,FW,Roma,Serie A,25,1997,8,7,593,6.6,0.3,3.64,1.52,41.7,0.08,0.2,11.6,0,0,0,13.3,18.3,72.7,204.4,48.2,7.12,8.79,81,5.3,7.58,70,0.61,0.91,66.7,0.15,1.21,1.36,0.3,0,1.67,18.3,16.5,1.82,0,0.3,6.21,0.15,0.15,0,0,0,0,10.2,3.94,4.24,1.36,10.8,2.12,0,1.36,13.3,0.15,0.45,0.61,0.45,3.79,1.97,0,0.3,1.21,0.3,0,0.45,0.15,0,0,0.3,0,0,0.45,0.3,0.3,0.15,0,0,0.45,0,0.45,9.24,1.82,19.7,1.06,2.88,5.3,0.91,0.61,0,0.3,0.45,0.91,0.76,0,32.7,0.76,2.42,17.9,13.3,6.36,30.9,0.61,2.42,25,1.06,0.45,16.2,73,44.2,2.42,0.45,0.91,3.03,1.67,44.8,25,55.7,6.36,0,0,0,1.36,1.97,0.45,0.15,0.3,0,0,0,2.88,3.64,2.12,63.2
9,Francesco Acerbi,ITA,DF,Inter,Serie A,34,1988,3,3,258,2.9,0,0.34,0,0,0,0,9,0,0,0,67.6,73.1,92.5,1439.7,384.1,19.3,21,91.8,37.9,40.3,94,9.66,11,87.5,0,0.34,3.1,0.34,0,3.45,73.1,70,3.1,1.72,0,8.28,1.72,0,0,0,0,0,60,3.1,10,55.2,12.4,2.76,0,0,67.6,0,1.38,0,0,1.03,1.03,0,0,0,0,0,0,0,0,0,0,0,0,1.72,1.03,1.72,0,0,0.34,0.34,100,0,3.79,1.72,45.5,2.41,1.38,0,1.38,0.34,0,1.03,0.69,2.41,4.14,0,82.4,12.1,45.5,41.7,1.03,0.34,79.3,0,0,0,0,0,55.2,357.2,163.4,3.1,0,0,0.34,0,61.7,61.7,100,0,0,0,0,1.03,0.69,0,0,1.03,0,0,0,8.62,4.48,0.69,86.7
10,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20,2002,2,0,36,0.4,0,2.5,0,0,0,0,25,0,0,0,47.5,55,86.4,767.5,260,22.5,22.5,100,22.5,27.5,81.8,2.5,5,50,0,2.5,2.5,0,0,5,55,52.5,2.5,0,0,2.5,0,0,2.5,0,2.5,0,47.5,2.5,5,47.5,7.5,0,0,0,47.5,0,0,2.5,0,5,2.5,0,2.5,0,0,0,0,0,0,0,0,0,0,2.5,2.5,2.5,0,0,2.5,2.5,100,0,20,5,25,2.5,10,7.5,0,0,0,0,5,7.5,0,0,65,0,15,32.5,27.5,0,62.5,7.5,7.5,100,7.5,0,62.5,295,202.5,7.5,2.5,0,0,5,55,50,90.9,2.5,0,0,0,5,0,0,0,2.5,0,0,0,5,0,0,0
11,Marcos Acuña,ARG,DF,Sevilla,La Liga,30,1991,6,5,405,4.5,0,1.33,0,0,0,0,21.8,0.22,0,0,47.8,66,72.4,1033.3,460.4,19.3,23.3,82.9,16.7,21.8,76.5,11.1,18.7,59.5,0,2.89,2.22,1.56,0.89,4.67,66,51.1,14.9,3.33,0,3.78,6,4.67,3.11,1.11,1.78,0,30.7,13.3,22,46,7.78,2.67,8.44,0,47.8,0.22,2,2.89,2,3.78,2,1.56,0,0.22,0,0,0,0,0,0,0,0,0,3.11,2.44,1.78,1.33,0,1.33,2.22,60,0.89,13.3,3.78,28.3,6.67,5.56,1.11,1.33,0.44,0.22,0.89,1.56,4.67,1.78,0,75.3,3.11,24.4,33.1,20.4,1.11,61.1,1.33,2,66.7,1.33,0.22,43.3,183.6,93.8,4,1.56,0,1.11,0.22,47.3,44,93,2.67,0.67,0.22,0,2.44,2,0,4.67,2.44,0,0.22,0,8.44,2,0.89,69.2
12,Che Adams,SCO,FW,Southampton,Premier League,26,1996,8,7,642,7.1,0.28,1.97,0.7,35.7,0.14,0.4,12.7,0,0,0,14.8,21.5,68.6,255.8,44.8,7.32,11.3,65,4.51,5.49,82.1,2.11,2.54,83.3,0.14,1.55,0.7,0.56,0.28,0.99,21.5,20,1.55,0,0,4.79,0.99,1.13,0,0,0,0,11.3,5.63,4.65,0.7,15.2,1.97,0.28,0.85,14.8,0,0.14,1.27,1.13,2.11,1.55,0.14,0.14,0.14,0.14,0,0.14,0.14,0,0,0,0,0,0.56,0.42,0.14,0.14,0.28,0.14,0.42,33.3,0.28,9.72,2.39,24.6,1.13,3.8,4.79,0.56,0.14,0,0.42,0.28,0.85,1.55,0,33.1,1.69,3.38,12.8,18.6,5.92,31.5,1.27,1.55,81.8,1.27,0.14,19.3,74.2,31.4,1.55,0.56,0.56,2.82,1.55,45.2,22.7,50.2,5.63,0,0,0,1.83,1.83,0.28,1.13,0.42,0,0,0,4.37,3.38,7.46,31.2
13,Tyler Adams,USA,MF,Leeds United,Premier League,23,1999,7,7,630,7,0,0.29,0,0,0,0,29.1,0,0,0,47.7,56.4,84.6,790.4,206.6,23.3,26.1,89.1,19.7,23.4,84.1,3.57,5.29,67.6,0,1,3.43,0.43,0,4.43,56.4,53.1,3.29,2.43,0,5.29,0.29,0.14,0,0,0,0,42.3,5,9.14,8.43,42.6,4,0.86,0,47.7,0,0.43,1.86,0.71,1.57,1.57,0,0,0,0,0,0,0,0,0,0,0,0,3.57,1.71,1.71,1.71,0.14,2,3,66.7,1,20.7,7.29,35.2,6.71,10.9,3.14,3,0.57,0,2.43,1,4.57,1,0,67.9,1.71,15.9,44.6,11,0.14,64.9,0.29,0.43,66.7,0.29,0,38.1,191.1,97.1,4.14,1,0,1.29,0.43,43.3,40,92.4,1.14,0.29,0,0,2.14,0.86,0,0.14,1.71,0,0,0,13.7,0.57,0.86,40
14,Sargis Adamyan,ARM,FW,Köln,Bundesliga,29,1993,8,1,226,2.5,0.4,2.8,1.6,57.1,0.14,0.25,12,0,0,0,20.8,28,74.3,364.4,99.2,9.6,12.4,77.4,8.4,10.8,77.8,2.4,3.6,66.7,0,2,0.8,2.8,0.8,3.6,28,25.6,2.4,0,0,4,0.4,2,0,0,0,0,18,5.2,4.8,5.6,18,0.8,1.2,0.8,20.8,0.4,0,2.4,0.8,4.4,3.2,0,0,0.8,0.4,0,0.4,0,0,0,0.4,0,0,1.2,0.4,0,0.8,0.4,0.4,2.8,14.3,2.4,26.8,8.8,32.8,3.6,11.6,11.6,1.2,0,0,1.2,0,1.2,0,0,43.6,0,4,18,24.4,10,41.2,0.8,2.4,33.3,0.8,0,30.4,128,51.2,3.6,1.2,1.2,1.6,6,46.4,30.4,65.5,8.4,0.4,0,0,3.6,0.8,1.2,2,0.4,0,0,0,6.8,1.6,3.2,33.3
15,Tosin Adarabioyo,ENG,DF,Fulham,Premier League,25,1997,8,8,720,8,0.13,0.25,0.13,50,0.5,1,10.9,0,0,0,36.1,45.3,79.8,829.5,240.8,7.63,9.38,81.3,21.3,23.8,89.5,7.13,11.5,62,0,0.13,2.38,0.13,0,2.38,45.3,44,1.25,1,0,4.63,1.25,0,0,0,0,0,31.1,3.5,10.6,3.38,36.3,3.38,0.25,0,36.1,0.25,1.13,0.88,0.5,0.38,0.38,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0.75,0.88,0.25,0,0.25,0.5,50,0.25,3.75,0.88,23.3,2.25,1.38,0.13,1.13,0.75,0,0.38,1.75,2.88,5.88,0.13,55.3,11,28.8,27.3,1.25,0.38,54,0.25,0.25,100,0.25,0,29.9,153.5,80.5,2,0.25,0,0.13,0.13,33.8,33.1,98.1,0.13,0,0,0,0.75,0.13,0,0,0.75,0,0,0,8.75,3.13,0.75,80.6
16,Martin Adeline,FRA,MF,Reims,Ligue 1,18,2003,4,0,93,1,0,1,0,0,0,0,24,0,0,0,20,30,66.7,237,50,14,18,77.8,4,6,66.7,0,1,0,0,0,0,0,0,0,30,27,3,1,0,10,0,0,1,0,0,0,19,8,3,6,19,1,1,0,20,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,0,0,1,0,1,25,7,28,11,11,3,2,1,0,1,4,7,2,0,45,2,18,14,15,3,42,2,3,66.7,3,0,24,136,87,1,1,0,3,2,29,22,75.9,2,1,0,0,4,0,0,0,2,0,0,0,8,3,2,60
17,Karim Adeyemi,GER,FWMF,Dortmund,Bundesliga,20,2002,5,3,207,2.3,0,2.61,1.74,66.7,0,0,14.2,0,0,0,27.4,33.9,80.8,420.4,151.7,16.5,20.4,80.9,7.39,7.83,94.4,2.61,3.48,75,0,3.04,0.87,3.04,0.87,4.35,33.9,33.5,0.43,0.43,0,6.09,0.43,2.17,0,0,0,0,27,4.35,2.61,14.8,17.8,0.43,0,0,27.4,0,0,1.3,2.17,5.65,3.91,0,0.87,0.87,0,0,1.3,0.87,0,0,0.43,0,0,0,0,0,0,0,0,0.87,0,0.87,15.7,5.65,36.1,2.61,8.7,4.35,2.61,0,0,2.61,0.43,0.43,0.87,0,49.6,0.87,5.65,17.8,30.4,6.52,49.1,2.61,4.35,60,2.61,0.43,39.1,203.5,134.8,4.35,2.61,0.87,2.17,2.61,47,37.4,79.6,9.13,1.3,0,0,1.3,0.87,0,2.17,0,0,0,0,6.09,1.3,1.3,50
18,Amine Adli,FRA,FWDF,Leverkusen,Bundesliga,22,2000,3,0,85,0.9,0,1.11,1.11,100,0,0,12,0,0,0,30,36.7,81.8,458.9,128.9,16.7,20,83.3,10,13.3,75,2.22,2.22,100,1.11,1.11,0,2.22,1.11,3.33,36.7,35.6,1.11,1.11,1.11,10,1.11,2.22,0,0,0,0,30,4.44,2.22,30,4.44,0,0,1.11,30,0,0,1.11,0,2.22,1.11,0,0,0,0,1.11,1.11,1.11,0,0,0,0,0,1.11,1.11,0,1.11,0,0,2.22,0,2.22,23.3,10,42.9,8.89,8.89,5.56,1.11,0,0,1.11,1.11,2.22,0,0,54.4,0,7.78,28.9,20,3.33,53.3,2.22,5.56,40,2.22,0,44.4,248.9,158.9,6.67,2.22,0,3.33,3.33,44.4,37.8,85,7.78,0,0,0,1.11,5.56,1.11,2.22,1.11,0,0,0,12.2,1.11,2.22,33.3
19,Yacine Adli,FRA,MF,Milan,Serie A,22,2000,3,0,57,0.6,0,3.33,3.33,100,0,0,17.6,0,0,0,38.3,61.7,62.2,930,385,13.3,16.7,80,11.7,18.3,63.6,13.3,20,66.7,0,1.67,10,0,0,8.33,61.7,58.3,3.33,0,1.67,3.33,5,3.33,1.67,0,1.67,0,35,15,11.7,3.33,56.7,0,1.67,0,38.3,0,0,5,8.33,3.33,1.67,1.67,0,0,0,0,0,0,0,0,0,0,0,3.33,1.67,1.67,1.67,0,1.67,3.33,50,1.67,41.7,10,24,6.67,20,15,1.67,0,0,1.67,0,3.33,0,0,71.7,1.67,5,36.7,31.7,1.67,68.3,0,0,0,0,0,45,311.7,160,3.33,1.67,0,0,1.67,70,58.3,83.3,11.7,1.67,0,0,1.67,1.67,0,3.33,1.67,0,0,0,5,0,3.33,0
20,Michel Aebischer,SUI,MF,Bologna,Serie A,25,1997,8,2,273,3,0,2,0.33,16.7,0,0,19.2,0.33,0,0,28.7,33.7,85.1,448.7,125.3,15,16,93.8,11,13,84.6,2,3,66.7,0,0.67,1.67,0,0,1.67,33.7,32.7,1,0.33,0,9.67,1.33,1,0.33,0,0.33,0,26.7,3.67,3.33,5.67,27,0.67,0.33,0,28.7,0.33,0.33,0.33,1,2.33,1.33,0.33,0.33,0.33,0,0,0.33,0,0,0,0.33,0,0,1.33,1.33,0.67,0,0.67,0,0.67,0,0.67,20.7,6,29,7,9.67,4,1.33,0.33,0,1,0.67,2,1.67,0,43.7,2,10,23.3,13,1.67,42.3,0.67,0.67,100,0.67,0,30.3,105.7,44,1.67,0.67,0,1,0.67,37,31,83.8,1.33,0.33,0,0,1.33,2.33,0.67,1,1.33,0,0,0,5.33,1,2.33,30
21,Felix Afena-Gyan,GHA,FW,Cremonese,Serie A,19,2003,2,0,40,0.4,0,0,0,0,0,0,0,0,0,0,30,30,100,430,90,17.5,17.5,100,12.5,12.5,100,0,0,0,0,2.5,2.5,0,0,2.5,30,30,0,0,0,12.5,0,0,0,0,0,0,27.5,2.5,0,2.5,25,0,0,0,30,0,0,0,0,2.5,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.5,5,22.2,5,12.5,5,0,0,0,0,0,0,0,0,47.5,5,10,17.5,22.5,2.5,47.5,0,0,0,0,0,37.5,190,102.5,5,0,0,0,10,52.5,32.5,61.9,7.5,2.5,0,0,2.5,2.5,0,0,0,0,0,0,10,2.5,17.5,12.5
22,Emmanuel Agbadou,CIV,DFMF,Reims,Ligue 1,25,1997,9,8,700,7.8,0,0.77,0.26,33.3,0,0,16.6,0,0,0,35.4,41.7,84.9,795,295.9,11.5,12.4,92.8,16.4,18.1,90.8,7.31,10.6,68.7,0,0.38,2.05,0.51,0,2.31,41.7,38.3,3.33,2.95,0.26,3.21,1.41,0,0,0,0,0,31.4,3.21,7.05,4.36,34.7,1.41,0.26,0,35.4,0,0.64,0.26,0.51,0.9,0.64,0.13,0,0.13,0,0,0,0,0,0,0,0,0,2.56,1.28,1.67,0.77,0.13,1.28,1.92,66.7,0.64,10.5,3.97,37.8,5.77,4.49,0.26,1.79,0.64,0,1.15,2.31,4.87,3.97,0.26,53.6,10.1,32.9,21,2.56,0.64,50.3,0.38,0.51,75,0.51,0,30.1,176.3,86.9,1.79,0.38,0.13,0.64,0.26,29.1,28.2,96.9,0.26,0.13,0.13,0,1.54,0.51,0,0,1.28,0,0,0,10,1.54,1.41,52.2
23,Lucien Agoume,FRA,MF,Troyes,Ligue 1,20,2002,3,2,106,1.2,0,0,0,0,0,0,0,0,0,0,40.8,49.2,83.1,727.5,134.2,18.3,20,91.7,18.3,21.7,84.6,4.17,5.83,71.4,0,1.67,2.5,1.67,0.83,3.33,49.2,46.7,2.5,1.67,0,5,0.83,1.67,0,0,0,0,38.3,3.33,7.5,13.3,32.5,0.83,0.83,0,40.8,0,0,0.83,0.83,1.67,1.67,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0.83,0.83,1.67,0,0.83,1.67,50,0.83,15,3.33,22.2,5.83,5.83,3.33,4.17,0.83,0,3.33,1.67,4.17,1.67,0,58.3,2.5,13.3,29.2,18.3,0,56.7,0.83,1.67,50,0.83,0,40.8,223.3,96.7,6.67,1.67,0,0,0,43.3,40.8,94.2,0.83,0.83,0,0,4.17,0.83,0.83,1.67,0.83,0,0,0,6.67,2.5,0,100
24,Felix Agu,GER,DF,Werder Bremen,Bundesliga,23,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,35,40,87.5,945,535,10,10,100,10,10,100,15,20,75,0,0,5,0,0,5,40,30,10,0,0,0,5,0,0,0,0,0,15,10,15,0,30,0,10,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,5,14.3,5,30,0,5,0,0,5,0,0,0,0,70,0,25,35,10,0,60,0,0,0,0,0,45,80,50,0,0,0,5,10,25,20,80,5,0,0,0,5,10,0,0,0,0,0,0,30,0,10,0
25,Álvaro Aguado,ESP,MF,Valladolid,La Liga,26,1996,6,5,395,4.4,0,0.45,0,0,0,0,26.8,0,0,0,39.8,47.3,84.1,825,182.3,14.5,16.6,87.7,16.1,18.9,85.5,8.64,10.2,84.4,0,2.05,3.86,0.45,0.23,3.18,47.3,45.7,1.59,1.36,0.23,3.41,3.18,0.68,0.23,0,0.23,0,31.8,5,10.5,4.09,39.8,2.73,0,0.45,39.8,0,0.68,0.68,0.91,4.09,4.09,0,0,0,0,0,0.68,0.68,0,0,0,0,0,1.14,0.91,0.23,0.91,0,0.23,0.45,50,0.23,6.82,3.18,46.7,1.82,4.32,0.68,1.59,0.45,0,1.14,1.14,2.27,0.91,0,54.3,1.82,13.6,32.5,13.2,0.91,52.7,0.23,0.68,33.3,0.23,0,36.1,266.6,118,5,1.36,0.23,0.45,0.45,38.9,36.8,94.7,2.05,0.23,0,0,0.45,1.36,0,0.68,0.91,0,0.23,0,10.2,0.23,0.68,25
26,Kevin Agudelo,COL,MFFW,Spezia,Serie A,23,1998,8,4,439,4.9,0,1.02,0,0,0,0,22.6,0,0,0,24.1,30.8,78.1,395.9,107.6,11.6,13.7,85.1,8.37,10.8,77.4,2.24,3.47,64.7,0,0.41,2.45,0.82,0,3.67,30.8,29.6,1.22,0.2,0,7.35,0.61,0.61,0.41,0,0.41,0,22.7,3.47,4.69,25.3,3.67,0.82,0,0.2,24.1,0.41,0.2,0.61,1.02,1.02,0.61,0.2,0,0.2,0,0,0,0,0,0,0,0,0,3.27,1.02,1.43,1.22,0.61,1.22,3.67,33.3,2.45,23.9,5.71,23.9,7.14,11.6,5.1,2.45,0.2,0,2.24,0.82,4.08,0,0,44.3,1.22,9.39,23.7,15.1,1.02,43.1,1.84,2.04,90,2.04,0.2,32.2,178.4,103.9,4.08,1.63,0.2,2.04,2.86,35.5,28.6,80.5,4.08,0,0,0,1.63,1.63,0.2,0.61,1.02,0,0,0,6.73,0.82,1.02,44.4
27,Ruben Aguilar,FRA,DF,Monaco,Ligue 1,29,1993,6,4,318,3.5,0,0,0,0,0,0,0,0,0,0,50.6,63.1,80.1,865.4,389.4,24.9,29.1,85.3,21.1,23.4,90.2,4.29,8.57,50,0,0,4.29,1.71,0.29,5.14,63.1,52.9,10.3,0.29,0,6.29,0.57,0.86,0,0,0,0,36,13.1,14,1.14,48.3,2.86,10,0,50.6,0,0.29,2.29,2.29,0.29,0.29,0,0,0,0,0,0,0,0,0,0,0,0,2.29,1.71,1.43,0.57,0.29,0.29,2.86,10,2.57,12,3.43,28.6,5.71,4.29,2,0.29,0,0,0.29,1.71,4,3.43,0,72.3,4.57,20,34.6,19.7,1.14,62.3,0.86,1.43,60,0.86,0,42.3,144.3,72.6,4.29,1.43,0,0.57,0.57,48.9,44.9,91.8,0.57,0.29,0,0,1.43,0.86,0,0.86,1.71,0,0,0,8.57,0.86,1.43,37.5
28,Naouirou Ahamada,FRA,MF,Stuttgart,Bundesliga,20,2002,8,8,660,7.3,0.14,0.55,0.27,50,0.25,0.5,22.7,0,0,0,23.3,28.1,82.9,382.1,82.2,12.1,13.4,89.8,9.59,10.5,90.9,1.51,3.01,50,0,0.41,1.92,0.27,0,2.6,28.1,27.7,0.41,0.14,0,5.07,0.14,0.41,0,0,0,0,22.7,2.74,2.6,3.29,23.3,0.55,0.27,0,23.3,0,0.68,0.82,0.96,1.92,1.78,0,0,0,0,0.14,0.41,0.41,0,0,0,0,0,1.23,0.68,0.41,0.55,0.27,0.27,1.1,25,0.82,12.1,3.42,28.4,4.38,4.66,3.01,1.23,0.27,0,0.96,0.82,2.05,0.41,0,38.9,1.1,10,22.7,10.8,1.64,38.5,0.82,2.74,30,1.1,0,30.3,236,126.2,5.21,2.19,0.68,1.92,0.82,29.6,26.2,88.4,2.88,0.27,0,0,1.51,1.37,0.14,0.41,0.68,0,0,0,7.26,0.96,1.23,43.8
