S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
882,Sehrou Guirassy,GUI,FW,Rennes,Ligue 1,26,1996,1,0,23,0.3,0,6.67,3.33,50,0,0,11,0,0,0,26.7,26.7,100,250,13.3,23.3,23.3,100,0,0,0,0,0,0,0,6.67,3.33,0,0,0,26.7,26.7,0,0,0,10,0,0,0,0,0,0,20,6.67,0,3.33,16.7,3.33,0,3.33,26.7,0,0,0,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,3.33,50,0,0,6.67,3.33,3.33,0,0,0,0,0,0,40,3.33,3.33,10,30,13.3,40,0,0,0,0,0,20,103.3,13.3,0,3.33,0,0,3.33,50,26.7,53.3,16.7,0,0,0,0,0,0,0,0,0,0,0,10,0,3.33,0
883,Péter Gulácsi,HUN,GK,RB Leipzig,Bundesliga,32,1990,6,6,540,6,0,0,0,0,0,0,0,0,0,0,31.2,35.7,87.4,732.3,291.2,6.83,6.83,100,17.7,17.7,100,6.5,11,59.1,0,0,0.5,0,0,0,35.7,29,6.67,0.67,0,1.17,0.5,0,0,0,0,0,27.3,1.67,6.67,4.33,24.2,0.17,0,6,31.2,0,0.67,0.33,0,0.17,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,29.8,36.7,0.33,0,0,30.2,0,0,0,0,0,24.3,103.8,39.8,0,0,0,0,0,20.3,20.2,99.2,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
884,Manuel Gulde,GER,DF,Freiburg,Bundesliga,31,1991,3,1,80,0.9,0,0,0,0,0,0,0,0,0,0,40,46.7,85.7,812.2,138.9,11.1,12.2,90.9,25.6,26.7,95.8,3.33,7.78,42.9,0,0,2.22,0,0,0,46.7,45.6,1.11,0,0,4.44,1.11,0,0,0,0,0,40,1.11,5.56,14.4,31.1,1.11,0,0,40,0,3.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,1.11,1.11,0,1.11,1.11,100,0,8.89,1.11,12.5,5.56,3.33,0,0,0,0,0,1.11,3.33,5.56,0,55.6,6.67,25.6,30,2.22,0,54.4,0,0,0,0,0,41.1,246.7,103.3,2.22,0,0,0,0,40,40,100,0,0,0,0,1.11,1.11,0,0,0,0,0,0,4.44,1.11,3.33,25
885,Gerard Gumbau,ESP,MF,Elche,La Liga,27,1994,7,6,493,5.5,0,0.73,0,0,0,0,27,0,0,0,27.8,37.8,73.6,584.5,161.8,11.5,13.1,87.5,10.4,12.2,85.1,5.64,11.6,48.4,0.18,0.91,2.91,0.91,0.36,2.18,37.8,32.9,4.91,2.36,0,4.18,2.91,0.91,2.36,1.45,0.73,0,22.9,2.91,12,31.8,4.36,1.45,0,0,27.8,0.55,1.45,0.91,0.36,1.45,0.55,0.91,0,0,0,0,0.18,0,0.18,0,0,0,0,2.18,0.91,0.91,1.09,0.18,0.73,1.27,57.1,0.55,16.9,4,23.7,6.73,7.82,2.36,2.18,0.91,0,1.27,1.64,3.82,1.09,0,47.3,3.09,14.7,25.1,11.1,0.73,42.5,0.18,0.73,25,0.18,0.18,26.7,135.1,61.8,1.27,0.73,0.36,0.36,0.36,30.4,28,92.2,0.55,0.55,0,0,2.55,0.91,0,0.91,0.91,0,0,0,6.36,0.36,0.73,33.3
886,Robert Gumny,POL,DF,Augsburg,Bundesliga,24,1998,7,6,549,6.1,0.16,0.16,0.16,100,1,1,7.2,0,0,0,18.5,30.8,60.1,383.1,195.1,6.56,8.69,75.5,8.69,13.4,64.6,3.28,7.54,43.5,0.16,0.49,1.48,0.49,0.33,2.13,30.8,22.8,8.03,0.16,0,3.28,0.82,1.31,0,0,0,0,10.7,6.56,13.6,3.44,14.9,2.62,7.87,0.16,18.5,0.16,0.82,1.15,0.66,0.49,0.49,0,0,0,0,0,0.16,0.16,0,0,0,0,0,1.8,1.48,0.66,0.66,0.49,0.66,1.64,40,0.98,12,3.93,32.9,4.1,6.72,1.15,0.82,0,0,0.82,1.15,2.95,2.95,0,38,2.62,13.8,16.1,10,1.48,30,0.16,0.49,33.3,0.33,0,16.2,71.1,33.4,1.31,0.49,0,0.16,0.49,15.6,14.3,91.6,0.66,0.16,0,0,0.98,0.66,0,1.31,1.48,0,0,0,8.69,2.62,2.62,50
887,Ýlkay Gündoðan,GER,MF,Manchester City,Premier League,31,1990,8,6,534,5.9,0.34,2.03,0.51,25,0.17,0.67,17.3,0.34,0,0,56.9,63.7,89.4,1054.9,201,25.1,27.5,91.4,23.2,25.3,91.9,7.63,8.98,84.9,0.17,2.88,5.08,1.36,0,4.75,63.7,61.5,2.2,0.68,1.02,6.95,2.54,1.02,1.53,0.34,0.34,0.17,52.2,4.75,6.78,19.7,42,0.85,0,0.34,56.9,0,0.34,2.03,1.02,4.41,3.73,0.68,0,0,0,0,1.02,0.85,0.17,0,0,0,0,1.02,0.68,0.17,0.51,0.34,0.34,0.85,40,0.51,7.29,2.03,27.9,1.02,3.56,2.71,1.36,0.34,0,1.02,1.02,2.03,0.85,0,73.1,1.69,8.98,41.9,26.1,4.92,70.5,0.34,1.19,28.6,0.34,0.17,50,244.7,115.9,5.25,1.86,0.34,0.34,1.02,64.1,58.8,91.8,6.27,0,0,0,1.02,0.51,0.51,1.02,0.68,0,0,0,5.76,1.19,1.36,46.7
888,Christian Günter,GER,DF,Freiburg,Bundesliga,29,1993,8,8,720,8,0,1.63,0.38,23.1,0,0,21.9,0,0,0,33.6,46.1,72.9,643.4,273.5,14.9,17.6,84.4,11.4,15.9,71.7,6.38,10.4,61.4,0,2.13,1.5,1.38,0.88,2.75,46.1,34.1,12,1.38,0,4.75,1.63,3.25,2.38,1.5,0.38,0.13,23.4,9.75,13,27.1,9.38,1.13,8.25,0,33.6,0.13,0.38,1.5,1.75,3.13,1.75,1,0.13,0.25,0,0,0.13,0.13,0,0,0,0,0,1.5,0.75,0.88,0.5,0.13,0.75,2.5,30,1.75,10.4,2.88,27.7,3.25,5.5,1.63,1.75,0.5,0,1.25,0.63,2.13,1.25,0,54.3,2.38,11.9,25.8,18.3,1.75,42.3,0.25,0.75,33.3,0.5,0.13,29.4,124,62.6,3.75,0.88,0.13,0.38,0.5,32.3,29.4,91.1,2.5,0.25,0,0,1.13,0.25,0.13,3.25,0.75,0,0,0,7,0.38,1.75,17.6
889,Koray Günter,GER,DF,Hellas Verona,Serie A,28,1994,6,5,495,5.5,0,0.55,0,0,0,0,17.2,0,0,0,24,33.6,71.4,578.9,199.8,5.64,7.45,75.6,12,14,85.7,6.36,11.5,55.6,0,0.73,2.55,0,0,3.09,33.6,31.5,2.18,2,0,3.64,0.73,0,0,0,0,0,18.7,4.91,10,2.18,25.1,4.73,0.18,0,24,0,1.45,0.18,0.91,0.91,0.73,0,0,0.18,0,0,0.18,0,0,0,0.18,0,0,1.82,1.27,0.55,1.27,0,0.36,0.73,50,0.36,12.7,4.91,38.6,4.91,7.45,0.36,1.82,1.45,0,0.36,1.64,3.45,6.55,0,45.1,8.91,25.1,20.4,1.64,0.91,43.1,0,0,0,0,0,17.8,140.9,76.7,1.27,0.18,0,0,0.18,17.6,17.1,96.9,0.18,0.36,0,0,1.82,1.82,0,0,1.27,0,0,0,12.7,3.82,1.82,67.7
890,Gorka Guruzeta,ESP,FW,Athletic Club,La Liga,26,1996,4,0,106,1.2,1.67,5,3.33,66.7,0.33,0.5,15.1,0,0,0,15,20,75,238.3,65.8,9.17,10.8,84.6,3.33,3.33,100,1.67,1.67,100,0,0.83,1.67,0.83,0,3.33,20,19.2,0.83,0,0,3.33,0.83,0,0,0,0,0,14.2,4.17,1.67,2.5,15,1.67,0,0.83,15,0,0.83,0.83,1.67,1.67,1.67,0,0,0,0,0,0,0,0,0,0,0,0,1.67,0.83,1.67,0,0,0.83,0.83,100,0,15.8,4.17,26.3,2.5,5.83,7.5,0,0,0,0,0.83,2.5,0.83,0,30.8,0.83,3.33,10.8,17.5,5.83,30,0,0,0,0,0,18.3,60,20.8,1.67,0,0,1.67,0.83,32.5,25,76.9,4.17,0,0,0,2.5,0.83,3.33,0,0.83,0,0,0,1.67,0.83,3.33,20
891,Malo Gusto,FRA,DF,Lyon,Ligue 1,19,2003,9,9,770,8.6,0,0.58,0.23,40,0,0,23.1,0,0,0,68.3,80.6,84.7,1149.1,372.7,34.2,37.4,91.3,27.6,31.9,86.5,5.7,8.02,71,0.12,1.86,4.65,2.33,1.63,3.6,80.6,70.2,10.3,1.4,0,6.05,1.05,4.3,0.12,0,0,0,58.8,13.5,8.26,13.1,56.6,1.4,8.84,0.12,68.3,0,0.23,2.67,2.91,2.21,2.21,0,0,0,0,0,0.23,0.23,0,0,0,0,0,3.14,1.74,1.63,0.81,0.7,1.4,2.56,54.5,1.16,13.7,4.53,33.1,5.81,4.77,3.14,2.56,0.12,0,2.44,2.56,5.7,1.74,0,91.7,2.79,20.8,47.7,31,1.74,82,1.16,1.86,62.5,1.16,0,62.7,344.2,190.9,10.1,3.37,0.47,0.81,1.16,65.3,62.4,95.6,1.74,0.12,0,0,1.28,1.63,0.12,4.3,1.74,0,0,0,8.72,0.81,0.93,46.7
