,S.No,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%
489,490,Matheus Cunha,BRA,FWMF,Atlético Madrid,La Liga,23,1999,7,2,216,2.4,0.0,2.5,1.67,66.7,0.0,0.0,12.2,0.0,0.0,0.0,12.5,17.9,69.8,187.9,68.3,7.92,11.7,67.9,2.5,3.33,75.0,1.25,1.25,100.0,0.42,2.08,0.42,0.83,0.0,2.5,17.9,16.7,1.25,0.0,0.0,3.75,0.42,0.42,0.0,0.0,0.0,0.0,12.9,3.33,1.67,1.67,14.6,0.0,0.0,0.83,12.5,0.42,0.42,0.0,1.67,3.33,2.92,0.0,0.0,0.42,0.0,0.0,0.42,0.42,0.0,0.0,0.0,0.0,0.0,1.67,0.83,1.25,0.42,0.0,0.0,0.42,0.0,0.42,23.3,5.83,25.0,3.75,9.17,10.4,0.83,0.42,0.0,0.42,0.42,2.08,0.0,0.0,30.8,0.83,7.5,12.9,13.3,5.83,29.6,1.67,2.5,66.7,1.67,0.0,18.3,103.8,83.3,2.5,1.25,0.42,2.5,0.83,25.0,18.3,73.3,3.33,0.42,0.0,0.0,1.67,2.5,0.42,0.42,0.83,0.0,0.0,0.0,5.83,0.83,3.75,18.2
490,491,Curro,ESP,MFFW,Almería,La Liga,26,1996,2,0,43,0.5,0.0,2.0,2.0,100.0,0.0,0.0,14.0,0.0,0.0,0.0,46.0,58.0,79.3,802.0,352.0,26.0,26.0,100.0,8.0,18.0,44.4,10.0,10.0,100.0,0.0,4.0,4.0,2.0,0.0,2.0,58.0,52.0,6.0,2.0,0.0,12.0,0.0,0.0,4.0,0.0,2.0,0.0,42.0,4.0,12.0,50.0,6.0,0.0,0.0,0.0,46.0,2.0,0.0,2.0,2.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,6.0,33.3,4.0,30.0,0.0,0.0,6.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,64.0,0.0,6.0,38.0,22.0,2.0,58.0,0.0,0.0,0.0,0.0,0.0,44.0,198.0,112.0,6.0,2.0,0.0,0.0,0.0,52.0,42.0,80.8,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,4.0,33.3
509,510,Sergi Darder,ESP,MF,Espanyol,La Liga,28,1993,7,7,626,7.0,0.14,1.14,0.14,12.5,0.13,1.0,24.3,0.0,0.0,0.0,31.7,45.3,70.0,731.6,264.7,9.86,11.7,84.1,14.1,16.1,87.6,7.29,15.3,47.7,0.14,2.86,4.43,2.14,0.43,5.43,45.3,35.9,9.43,4.29,0.29,6.71,4.0,1.57,4.43,1.57,1.43,0.71,26.4,3.57,15.3,3.57,40.0,1.14,0.29,0.0,31.7,0.14,1.29,2.29,1.57,4.14,2.57,1.29,0.29,0.0,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,1.86,1.0,0.43,1.0,0.43,0.14,0.43,33.3,0.29,15.0,3.71,24.8,2.86,7.71,4.43,1.0,0.0,0.0,1.0,1.14,3.0,0.86,0.0,55.9,0.71,7.71,32.0,22.6,1.43,46.9,1.14,2.0,57.1,1.14,0.14,33.1,231.7,140.9,6.71,2.86,0.0,0.86,0.71,39.6,34.6,87.4,2.29,0.14,0.0,0.0,1.29,2.0,0.0,1.57,1.0,0.0,0.0,0.0,6.0,0.43,0.71,37.5
523,524,Rodrigo De Paul,ARG,MF,Atlético Madrid,La Liga,28,1994,6,4,319,3.5,0.29,0.86,0.57,66.7,0.33,0.5,26.1,0.0,0.0,0.0,44.6,53.7,83.0,874.0,251.4,18.9,22.0,85.7,15.7,16.9,93.2,7.71,11.1,69.2,0.29,2.29,2.0,2.29,0.86,4.29,53.7,47.7,6.0,2.29,0.0,7.43,4.0,1.71,2.0,0.57,0.57,0.0,38.3,5.71,9.71,1.43,50.0,0.57,1.14,0.29,44.6,0.29,1.14,2.57,0.57,3.71,2.57,0.86,0.0,0.0,0.29,0.0,0.29,0.29,0.0,0.0,0.0,0.0,0.0,1.43,0.57,0.29,1.14,0.0,0.29,0.86,33.3,0.57,22.3,3.71,16.7,4.86,12.0,5.43,0.86,0.57,0.0,0.29,0.29,1.71,0.29,0.0,62.0,0.86,10.3,39.7,16.9,0.57,56.6,1.43,2.0,71.4,1.43,0.0,48.0,244.0,145.4,6.0,2.29,0.0,0.29,0.86,54.0,48.3,89.4,2.0,0.29,0.0,0.0,0.86,2.86,0.0,1.71,0.57,0.0,0.0,0.0,4.29,0.29,1.43,16.7
531,532,Thomas Delaney,DEN,MF,Sevilla,La Liga,31,1991,5,2,222,2.5,0.0,1.2,0.4,33.3,0.0,0.0,17.8,0.0,0.0,0.0,40.0,46.4,86.2,685.6,134.4,20.4,20.8,98.1,14.0,16.8,83.3,4.4,7.6,57.9,0.0,0.4,1.6,1.2,0.4,1.6,46.4,45.6,0.8,0.4,0.0,6.8,2.0,1.6,0.0,0.0,0.0,0.0,32.8,4.8,8.8,38.0,6.0,1.2,0.4,0.0,40.0,0.4,1.6,0.0,0.0,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.0,0.4,0.4,0.4,2.0,20.0,1.6,11.2,4.0,35.7,3.2,6.0,2.0,0.4,0.4,0.0,0.0,0.8,1.6,2.0,0.0,52.4,2.0,16.8,28.8,8.4,2.4,51.6,0.0,0.0,0.0,0.0,0.0,37.2,111.6,35.2,0.8,0.0,0.0,0.0,0.0,41.2,38.8,94.2,1.2,0.8,0.0,0.0,1.6,1.2,0.4,1.6,0.8,0.0,0.0,0.0,7.6,2.0,1.6,55.6
533,534,Fran Delgado,ESP,DF,Betis,La Liga,21,2001,1,0,12,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,90.0,88.9,1420.0,250.0,40.0,40.0,100.0,30.0,30.0,100.0,10.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,80.0,10.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,80.0,0.0,10.0,10.0,70.0,0.0,10.0,0.0,80.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,33.3,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,10.0,30.0,50.0,10.0,80.0,0.0,0.0,0.0,0.0,0.0,70.0,180.0,120.0,10.0,0.0,0.0,0.0,0.0,80.0,80.0,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
537,538,Ousmane Dembélé,FRA,FW,Barcelona,La Liga,25,1997,7,6,476,5.3,0.38,3.96,1.13,28.6,0.1,0.33,18.2,0.0,0.0,0.0,43.8,56.2,77.9,816.2,170.8,21.5,24.7,87.0,15.8,18.9,84.0,5.85,10.9,53.4,0.38,3.77,1.7,2.08,0.19,3.96,56.2,50.9,5.28,0.38,0.57,2.83,3.4,3.96,3.96,1.7,0.94,0.19,43.6,4.15,8.49,19.6,35.7,0.0,0.94,0.0,43.8,0.57,1.51,2.08,2.64,5.47,3.96,0.75,0.75,0.0,0.0,0.0,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.94,0.75,0.19,0.38,0.38,0.19,0.75,25.0,0.57,11.7,1.89,16.1,1.7,4.34,5.66,1.51,0.0,0.0,1.51,0.19,1.13,0.0,0.0,69.2,0.19,2.08,23.8,49.4,6.98,64.0,1.7,4.53,37.5,1.7,0.0,54.0,362.3,243.8,13.2,3.96,3.96,1.13,1.51,64.7,56.0,86.6,6.98,0.38,0.0,0.0,0.94,0.75,0.19,3.96,0.75,0.0,0.0,0.0,4.53,0.0,0.57,0.0
548,549,Memphis Depay,NED,FW,Barcelona,La Liga,28,1994,2,2,114,1.3,0.77,4.62,2.31,50.0,0.17,0.33,11.1,0.0,0.0,0.0,40.0,48.5,82.5,650.0,145.4,22.3,25.4,87.9,13.8,16.2,85.7,3.08,5.38,57.1,0.0,2.31,2.31,1.54,0.0,3.85,48.5,43.8,4.62,0.77,0.0,7.69,1.54,3.08,3.08,0.0,1.54,0.0,37.7,2.31,8.46,8.46,40.0,0.0,0.0,0.0,40.0,0.0,0.0,0.77,0.77,4.62,2.31,1.54,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.77,0.77,0.0,0.0,0.0,0.0,0.0,0.0,7.69,3.08,40.0,0.77,2.31,4.62,0.0,0.0,0.0,0.0,0.0,0.77,0.77,0.0,66.9,0.0,3.85,21.5,43.8,9.23,62.3,3.08,6.15,50.0,3.85,0.0,46.2,176.9,86.9,4.62,0.77,1.54,6.15,1.54,66.9,55.4,82.8,17.7,0.0,0.0,0.0,1.54,1.54,0.77,3.08,0.77,0.0,0.0,0.0,4.62,1.54,1.54,50.0
563,564,Mouctar Diakhaby,GUI,DF,Valencia,La Liga,25,1996,8,8,698,7.8,0.26,0.38,0.26,66.7,0.67,1.0,4.1,0.0,0.0,0.0,43.8,49.7,88.1,1071.0,294.2,9.1,10.1,89.9,22.9,24.5,93.7,11.8,15.1,78.0,0.0,0.26,3.59,0.0,0.0,2.44,49.7,48.8,0.9,0.51,0.0,5.0,2.31,0.13,0.0,0.0,0.0,0.0,38.7,3.46,7.56,4.1,41.3,3.33,0.0,0.0,43.8,0.0,0.77,0.26,0.26,0.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67,1.41,1.03,0.64,0.0,0.64,0.9,71.4,0.26,8.08,3.21,39.7,4.23,3.21,0.64,1.28,0.77,0.0,0.51,1.79,3.46,4.1,0.0,59.5,8.72,32.1,27.8,2.31,1.28,58.6,0.13,0.26,50.0,0.13,0.0,36.9,187.8,100.6,2.44,0.13,0.0,0.51,0.13,40.4,39.6,98.1,0.26,0.51,0.13,0.13,1.28,0.13,0.0,0.13,1.41,0.0,0.0,0.0,8.97,1.79,2.95,37.8
570,571,Mamady Diarra,MLI,MF,Cádiz,La Liga,22,2000,2,1,66,0.7,0.0,4.29,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,12.9,14.3,90.0,168.6,45.7,5.71,7.14,80.0,5.71,5.71,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,14.3,14.3,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,14.3,0.0,0.0,12.9,1.43,0.0,0.0,0.0,12.9,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43,1.43,1.43,0.0,0.0,0.0,1.43,0.0,1.43,24.3,5.71,23.5,7.14,12.9,4.29,4.29,0.0,0.0,4.29,0.0,1.43,0.0,0.0,31.4,0.0,12.9,14.3,10.0,5.71,31.4,1.43,5.71,25.0,1.43,0.0,24.3,152.9,82.9,1.43,0.0,0.0,2.86,0.0,30.0,15.7,52.4,2.86,0.0,0.0,0.0,1.43,2.86,0.0,0.0,1.43,0.0,0.0,0.0,10.0,0.0,2.86,0.0
